school,gsr,fgr
Air Force,93,
Akron,58,52
Alabama,73,57
Alabama at Birmingham,60,55
Appalachian State,68,56
Arizona,61,59
Arizona State,67,52
Arkansas,54,39
Arkansas State,68,60
Army,89,
Auburn,70,61
Ball State,60,54
Baylor,67,48
Boise State,91,67
Boston College,94,86
Bowling Green,70,55
Brigham Young,57,42
Buffalo,59,58
California,44,39
Central Florida,83,58
Central Michigan,51,37
Charlotte,,
Cincinnati,65,57
Clemson,77,59
Coastal Carolina,66,57
Colorado,70,58
Colorado State,78,68
Connecticut,65,54
Duke,90,81
East Carolina,66,57
Eastern Michigan,59,43
Florida,77,49
Florida Atlantic,54,49
Florida International,47,41
Florida State,58,47
Fresno State,70,76
Georgia,82,70
Georgia Southern,48,38
Georgia State,,
Georgia Tech,63,53
Hawaii,59,49
Houston,57,53
Illinois,73,56
Indiana,67,57
Iowa,81,66
Iowa State,60,48
Kansas,69,53
Kansas State,59,53
Kent State,58,52
Kentucky,62,55
Liberty,65,54
Louisiana Tech,79,57
Louisiana-Lafayette,65,62
Louisiana-Monroe,59,51
Louisville,66,49
LSU,74,44
Marshall,66,54
Maryland,73,63
Massachusetts,61,55
Memphis,74,65
Miami (Fla.),86,69
Miami (Ohio),75,67
Michigan,66,57
Michigan State,70,54
Middle Tennessee,73,54
Minnesota,65,50
Mississippi,55,42
Mississippi State,59,46
Missouri,74,57
Navy,84,
Nebraska,76,60
"Nevada	",71,62
Nevada-Las Vegas,64,69
New Mexico,58,42
New Mexico State,63,44
North Carolina,65,52
North Carolina State,64,57
North Texas,65,62
Northern Illinois,85,67
Northwestern,85,67
Notre Dame,93,74
Ohio,75,65
Ohio State,75,58
Oklahoma,51,43
Oklahoma State,56,45
Old Dominion,50,
Oregon,72,57
Oregon State,66,59
Penn State,85,72
Pittsburgh,68,55
Purdue,64,57
Rice,96,89
Rutgers,85,66
San Diego State,68,66
San Jose State,51,53
South Alabama,,
South Carolina,65,51
South Florida,57,39
Southern California,53,44
Southern Methodist,75,63
Southern Mississippi,71,59
Stanford,93,89
Syracuse,77,64
Temple,79,60
Tennessee,64,61
Texas,56,57
Texas A&M,74,64
Texas Christian,85,80
Texas State,64,45
Texas Tech,72,56
Texas-El Paso,66,59
Texas-San Antonio,,
Toledo,67,60
Troy,48,43
Tulane,82,63
Tulsa,75,59
UCLA,82,69
Utah,73,57
Utah State,84,56
Vanderbilt,82,68
Virginia,74,69
Virginia Tech,78,62
Wake Forest,86,77
Washington,74,66
Washington State,57,51
West Virginia,80,61
Western Kentucky,72,59
Western Michigan,68,58
Wisconsin,72,57
Wyoming,65,48
